"Word"	"Pronunciation"	"Audio"	"Parts Of Speech"	"Meaning"	"Examples"	"Picture"	"Word Reference"
"import"	"import.ipa"	"import.mp3"	"N."	"significance"	"Scientific American has covered Einstein&rsquo;s theories&mdash;and the refinements and reactions to them&mdash;ever since scientists began to grasp the import of his landmark 1905 papers"	"import.png"	"https://www.wordreference.com/definition/import"
"importunate"	"importunate.ipa"	"importunate.mp3"	"ADJ."	"urging; demanding"	"He tried to hide from his importunate creditors until his allowance arrived"	"importunate.png"	"https://www.wordreference.com/definition/importunate"
"importune"	"importune.ipa"	"importune.mp3"	"V."	"beg persistently"	"Democratic and Republican phone solicitors importuned her for contributions so frequently that she decided to give nothing to either party"	"importune.png"	"https://www.wordreference.com/definition/importune"
"imposture"	"imposture.ipa"	"imposture.mp3"	"N."	"assuming a false identity; masquerade"	"Maintaining he was Richard of Shrewsbury, younger son of England&rsquo;s late King Edward IV, Perkin Warbeck laid claim to the throne; captured by Henry VII&rsquo;s army, Warbeck eventually confessed his imposture"	"imposture.png"	"https://www.wordreference.com/definition/imposture"
"impotent"	"impotent.ipa"	"impotent.mp3"	"ADJ."	"weak; ineffective"	"Although he wished to break the nicotine habit, he found himself impotent in resisting the craving for a cigarette"	"impotent.png"	"https://www.wordreference.com/definition/impotent"
"impregnable"	"impregnable.ipa"	"impregnable.mp3"	"ADJ."	"invulnerable"	"Until the development of the airplane as a military weapon, the fort was considered impregnable"	"impregnable.png"	"https://www.wordreference.com/definition/impregnable"
"impromptu"	"impromptu.ipa"	"impromptu.mp3"	"ADJ."	"without previous preparation; off the cuff; on the spur of the moment"	"The judges were amazed that she could make such a thorough, well-supported presentation in an impromptu speech"	"impromptu.png"	"https://www.wordreference.com/definition/impromptu"
"impropriety"	"impropriety.ipa"	"impropriety.mp3"	"N."	"improperness; unsuitableness"	"Because of the impropriety of the punk rocker&rsquo;s slashed T-shirt and jeans, the management refused to admit him to the hotel&rsquo;s very formal dining room"	"impropriety.png"	"https://www.wordreference.com/definition/impropriety"
"improvident"	"improvident.ipa"	"improvident.mp3"	"ADJ."	"thriftless"	"He was constantly being warned to mend his improvident ways and begin to &ldquo;save for a rainy day.&rdquo; improvidence, N"	"improvident.png"	"https://www.wordreference.com/definition/improvident"
"improvise"	"improvise.ipa"	"improvise.mp3"	"V."	"compose on the spur of the moment"	"She would sit at the piano and improvise for hours on themes from Bach and Handel"	"improvise.png"	"https://www.wordreference.com/definition/improvise"
"imprudent"	"imprudent.ipa"	"imprudent.mp3"	"ADJ."	"lacking caution; injudicious"	"It is imprudent to exercise vigorously and become overheated when you are unwell"	"imprudent.png"	"https://www.wordreference.com/definition/imprudent"
"impudence"	"impudence.ipa"	"impudence.mp3"	"N."	"impertinence; insolence"	"Kissed on the cheek by a perfect stranger, Lady Catherine exclaimed, &ldquo;Of all the nerve! Young man, I should have you horse-whipped for your impudence.&rdquo;"	"impudence.png"	"https://www.wordreference.com/definition/impudence"
"impugn"	"impugn.ipa"	"impugn.mp3"	"V."	"dispute or contradict (often in an insulting way); challenge; gainsay"	"Our treasurer was furious when the finance committee&rsquo;s report impugned the accuracy of his financial records and recommended that he take bonehead math"	"impugn.png"	"https://www.wordreference.com/definition/impugn"
"impunity"	"impunity.ipa"	"impunity.mp3"	"N."	"freedom from punishment or harm"	"A 98-pound weakling can&rsquo;t attack a beachfront bully with impunity: the poor, puny guy is sure to get mashed"	"impunity.png"	"https://www.wordreference.com/definition/impunity"
"impute"	"impute.ipa"	"impute.mp3"	"V."	"attribute; ascribe"	"If I wished to impute blame to the officers in charge of this program, I would say so definitely and immediately"	"impute.png"	"https://www.wordreference.com/definition/impute"
"inadvertently"	"inadvertently.ipa"	"inadvertently.mp3"	"ADV."	"unintentionally; by oversight; carelessly"	"Judy&rsquo;s great fear was that she might inadvertently omit a question on the exam and mismark her whole answer sheet"	"inadvertently.png"	"https://www.wordreference.com/definition/inadvertently"
"inalienable"	"inalienable.ipa"	"inalienable.mp3"	"ADJ."	"not to be taken away; nontransferable"	"The Declaration of Independence mentions the inalienable rights that all of us possess"	"inalienable.png"	"https://www.wordreference.com/definition/inalienable"
"inane"	"inane.ipa"	"inane.mp3"	"ADJ."	"silly; senseless"	"There&rsquo;s no point in what you&rsquo;re saying.Why are you bothering to make such inane remarks? inanity, N"	"inane.png"	"https://www.wordreference.com/definition/inane"
"inanimate"	"inanimate.ipa"	"inanimate.mp3"	"ADJ."	"lifeless"	"Fashioning a huge, manlike figure out of inanimate body parts, Victor Frankenstein harnessed the galvanic power of lightning to bring his creation to life"	"inanimate.png"	"https://www.wordreference.com/definition/inanimate"
"inarticulate"	"inarticulate.ipa"	"inarticulate.mp3"	"ADJ."	"speechless; producing indistinct speech"	"She became inarticulate with rage and uttered sounds without meaning"	"inarticulate.png"	"https://www.wordreference.com/definition/inarticulate"
"inaugurate"	"inaugurate.ipa"	"inaugurate.mp3"	"V."	"begin formally; install in office"	"The candidate promised that he would inaugurate a new nationwide health care plan as soon as he was inaugurated as president.inauguration, N"	"inaugurate.png"	"https://www.wordreference.com/definition/inaugurate"
"incapacitate"	"incapacitate.ipa"	"incapacitate.mp3"	"V."	"disable"	"During the winter, respiratory ailments incapacitated many people"	"incapacitate.png"	"https://www.wordreference.com/definition/incapacitate"
"incarcerate"	"incarcerate.ipa"	"incarcerate.mp3"	"V."	"imprison"	"The civil rights workers were willing to be arrested and even incarcerated if by their imprisonment they could serve the cause"	"incarcerate.png"	"https://www.wordreference.com/definition/incarcerate"
"incense"	"incense.ipa"	"incense.mp3"	"V."	"enrage; infuriate"	"Cruelty to defenseless animals incensed Kit: the very idea brought tears of anger to her eyes"	"incense.png"	"https://www.wordreference.com/definition/incense"
"incentive"	"incentive.ipa"	"incentive.mp3"	"N."	"spur; motive"	"Mike&rsquo;s strong desire to outshine his big sister was all the incentive he needed to do well in school"	"incentive.png"	"https://www.wordreference.com/definition/incentive"
"inception"	"inception.ipa"	"inception.mp3"	"N."	"start; beginning"	"She was involved with the project from its inception"	"inception.png"	"https://www.wordreference.com/definition/inception"
"incessant"	"incessant.ipa"	"incessant.mp3"	"ADJ."	"uninterrupted; unceasing"	"In a famous TV commercial, the frogs&rsquo; incessant croaking goes on and on until eventually it turns into a single word: &ldquo;Bud-weis-er.&rdquo;"	"incessant.png"	"https://www.wordreference.com/definition/incessant"
"inchoate"	"inchoate.ipa"	"inchoate.mp3"	"ADJ."	"recently begun; rudimentary; elementary"	"Before the Creation, the world was an inchoate mass"	"inchoate.png"	"https://www.wordreference.com/definition/inchoate"
"incidence"	"incidence.ipa"	"incidence.mp3"	"N."	"rate of occurrence; particular occurrence"	"Health professionals expressed great concern over the high incidence of infant mortality in major urban areas"	"incidence.png"	"https://www.wordreference.com/definition/incidence"
"incidental"	"incidental.ipa"	"incidental.mp3"	"ADJ."	"not essential; minor"	"The scholarship covered his major expenses at college and some of his incidental expenses as well"	"incidental.png"	"https://www.wordreference.com/definition/incidental"
"incipient"	"incipient.ipa"	"incipient.mp3"	"ADJ."	"beginning; in an early stage"	"I will go to sleep early for I want to break an incipient cold"	"incipient.png"	"https://www.wordreference.com/definition/incipient"
"incisive"	"incisive.ipa"	"incisive.mp3"	"ADJ."	"cutting; sharp"	"Her incisive remarks made us see the fallacy in our plans.incision, N"	"incisive.png"	"https://www.wordreference.com/definition/incisive"
"incite"	"incite.ipa"	"incite.mp3"	"V."	"arouse to action; goad; motivate; induce to exist"	"In a fiery speech, Mario incited his fellow students to go out on strike to protest the university&rsquo;s anti-affirmative-action stand"	"incite.png"	"https://www.wordreference.com/definition/incite"
"inclement"	"inclement.ipa"	"inclement.mp3"	"ADJ."	"stormy; unkind"	"In inclement weather, I like to curl up on the sofa with a good book and listen to the storm blowing outside"	"inclement.png"	"https://www.wordreference.com/definition/inclement"
"inclined"	"inclined.ipa"	"inclined.mp3"	"ADJ."	"tending or leaning toward; bent"	"Though I am inclined to be skeptical, the witness&rsquo;s manner inclines me to believe his story.incline, V"	"inclined.png"	"https://www.wordreference.com/definition/inclined"
"inclusive"	"inclusive.ipa"	"inclusive.mp3"	"ADJ."	"tending to include all"	"The comedian turned down the invitation to join the Players&rsquo; Club, saying any club that would let him in was too inclusive for him"	"inclusive.png"	"https://www.wordreference.com/definition/inclusive"
"incognito"	"incognito.ipa"	"incognito.mp3"	"ADV."	"with identity concealed; using an assumed name"	"The monarch enjoyed traveling through the town incognito and mingling with the populace.also ADJ"	"incognito.png"	"https://www.wordreference.com/definition/incognito"
"incoherent"	"incoherent.ipa"	"incoherent.mp3"	"ADJ."	"unintelligible; muddled; illogical"	"The excited fan blushed and stammered, her words becoming almost incoherent in the thrill of meeting her favorite rock star face to face.incoherence, N"	"incoherent.png"	"https://www.wordreference.com/definition/incoherent"
"incompatible"	"incompatible.ipa"	"incompatible.mp3"	"ADJ."	"inharmonious"	"The married couple argued incessantly and finally decided to separate because they were incompatible.incompatibility, N"	"incompatible.png"	"https://www.wordreference.com/definition/incompatible"
"incongruity"	"incongruity.ipa"	"incongruity.mp3"	"N."	"lack of harmony; absurdity"	"The incongruity of his wearing sneakers with formal attire amused the observers.incongruous, ADJ"	"incongruity.png"	"https://www.wordreference.com/definition/incongruity"
"inconsequential"	"inconsequential.ipa"	"inconsequential.mp3"	"ADJ."	"insignificant; unimportant"	"Brushing off Ali&rsquo;s apologies for having broken the wine glass, Tamara said, &ldquo;Don&rsquo;t worry about it; it&rsquo;s inconsequential.&rdquo;"	"inconsequential.png"	"https://www.wordreference.com/definition/inconsequential"
"inconsistency"	"inconsistency.ipa"	"inconsistency.mp3"	"N."	"state of being self-contradictory; lack of uniformity or steadiness"	"How are lawyers different from agricultural inspectors? Where lawyers check inconsistencies in witnesses&rsquo; statements, agricultural inspectors check inconsistencies in Grade A eggs.inconsistent, ADJ"	"inconsistency.png"	"https://www.wordreference.com/definition/inconsistency"
"incontinent"	"incontinent.ipa"	"incontinent.mp3"	"ADJ."	"lacking self-restraint; licentious"	"His incontinent behavior off stage so shocked many people that they refused to attend the plays and movies in which he appeared"	"incontinent.png"	"https://www.wordreference.com/definition/incontinent"
"incontrovertible"	"incontrovertible.ipa"	"incontrovertible.mp3"	"ADJ."	"indisputable; not open to question"	"Unless you find the evidence against my client absolutely incontrovertible, you must declare her not guilty of this charge"	"incontrovertible.png"	"https://www.wordreference.com/definition/incontrovertible"
"incorporate"	"incorporate.ipa"	"incorporate.mp3"	"V."	"introduce something into a larger whole; combine; unite"	"Breaking with precedent, President Truman ordered the military to incorporate blacks into every branch of the armed services.also ADJ"	"incorporate.png"	"https://www.wordreference.com/definition/incorporate"
"incorporeal"	"incorporeal.ipa"	"incorporeal.mp3"	"ADJ."	"lacking a material body; insubstantial"	"Although Casper the friendly ghost is an incorporeal being, he and his fellow ghosts make quite an impact on the physical world"	"incorporeal.png"	"https://www.wordreference.com/definition/incorporeal"
"incorrigible"	"incorrigible.ipa"	"incorrigible.mp3"	"ADJ."	"uncorrectable"	"Though Widow Douglass hoped to reform Huck, Miss Watson pronounced him incorrigible and said he would come to no good end"	"incorrigible.png"	"https://www.wordreference.com/definition/incorrigible"
"incredulous"	"incredulous.ipa"	"incredulous.mp3"	"ADJ."	"withholding belief; skeptical"	"When Jack claimed he hadn&rsquo;t eaten the jelly doughnut, Jill took an incredulous look at his smeared face and laughed"	"incredulous.png"	"https://www.wordreference.com/definition/incredulous"
"increment"	"increment.ipa"	"increment.mp3"	"N."	"increase"	"The new contract calls for a ten percent increment in salary for each employee for the next two years"	"increment.png"	"https://www.wordreference.com/definition/increment"
"incriminate"	"incriminate.ipa"	"incriminate.mp3"	"V."	"accuse; serve as evidence against"	"The witness&rsquo;s testimony against the racketeers incriminates some high public officials as well"	"incriminate.png"	"https://www.wordreference.com/definition/incriminate"
"incubate"	"incubate.ipa"	"incubate.mp3"	"V."	"hatch"	"Because our supply of electricity has been cut off, we shall have to rely on the hens to incubate these eggs"	"incubate.png"	"https://www.wordreference.com/definition/incubate"
"inculcate"	"inculcate.ipa"	"inculcate.mp3"	"V."	"teach"	"In an effort to inculcate religious devotion, the officials ordered that the school day begin with the singing of a hymn"	"inculcate.png"	"https://www.wordreference.com/definition/inculcate"
"incumbent"	"incumbent.ipa"	"incumbent.mp3"	"ADJ."	"obligatory; currently holding an office"	"It is incumbent upon all incumbent elected officials to keep accurate records of expenses incurred in office.also N"	"incumbent.png"	"https://www.wordreference.com/definition/incumbent"
"incur"	"incur.ipa"	"incur.mp3"	"V."	"bring upon oneself"	"His parents refused to pay any future debts he might incur"	"incur.png"	"https://www.wordreference.com/definition/incur"
"incursion"	"incursion.ipa"	"incursion.mp3"	"N."	"temporary invasion"	"The nightly incursions and hit-and-run raids of our neighbors across the border tried the patience of the country to the point where we decided to retaliate in force"	"incursion.png"	"https://www.wordreference.com/definition/incursion"
"indefatigable"	"indefatigable.ipa"	"indefatigable.mp3"	"ADJ."	"tireless"	"Although the effort of taking out the garbage exhausted Wayne for the entire morning, when it came to partying, he was indefatigable"	"indefatigable.png"	"https://www.wordreference.com/definition/indefatigable"
"indelible"	"indelible.ipa"	"indelible.mp3"	"ADJ."	"not able to be erased"	"The indelible ink left a permanent mark on my shirt.Young Bill Clinton&rsquo;s meeting with President Kennedy made an indelible impression on the youth"	"indelible.png"	"https://www.wordreference.com/definition/indelible"
"indemnify"	"indemnify.ipa"	"indemnify.mp3"	"V."	"make secure against loss; compensate for loss"	"The city will indemnify all home owners whose property is spoiled by this project"	"indemnify.png"	"https://www.wordreference.com/definition/indemnify"
"indeterminate"	"indeterminate.ipa"	"indeterminate.mp3"	"ADJ."	"uncertain; not clearly fixed; indefinite"	"That interest rates shall rise appears certain; when they will do so, however, remains indeterminate"	"indeterminate.png"	"https://www.wordreference.com/definition/indeterminate"
"indicative"	"indicative.ipa"	"indicative.mp3"	"ADJ."	"suggestive; implying"	"A lack of appetite may be indicative of a major mental or physical disorder"	"indicative.png"	"https://www.wordreference.com/definition/indicative"
"indices"	"indices.ipa"	"indices.mp3"	"N."	""	"signs; indications.Many college admissions officers believe that SAT scores and high school grades are the best indices of a student&rsquo;s potential to succeed in college.index, N.SING"	"indices.png"	"https://www.wordreference.com/definition/indices"
"indict"	"indict.ipa"	"indict.mp3"	"V."	"charge"	"The district attorney didn&rsquo;t want to indict the suspect until she was sure she had a strong enough case to convince a jury.indictment, N"	"indict.png"	"https://www.wordreference.com/definition/indict"
"indifferent"	"indifferent.ipa"	"indifferent.mp3"	"ADJ."	"unmoved or unconcerned by; mediocre"	"Because Ann felt no desire to marry, she was indifferent to Carl&rsquo;s constant proposals.Not only was she indifferent to him personally, but she felt that, given his general inanity, he would make an indifferent husband"	"indifferent.png"	"https://www.wordreference.com/definition/indifferent"
"indigence"	"indigence.ipa"	"indigence.mp3"	"N."	"poverty"	"Neither the economists nor the political scientists have found a way to wipe out the inequities of wealth and eliminate indigence from our society.indigent, ADJ., N"	"indigence.png"	"https://www.wordreference.com/definition/indigence"
"indigenous"	"indigenous.ipa"	"indigenous.mp3"	"ADJ."	"native"	"Cigarettes are made of tobacco, a plant indigenous to the New World"	"indigenous.png"	"https://www.wordreference.com/definition/indigenous"
"indigent"	"indigent.ipa"	"indigent.mp3"	"ADJ."	"poor; destitute"	"Someone who is truly indigent can&rsquo;t even afford to buy a pack of cigarettes.[Don&rsquo;t mix up indigent and indigenous.See preceding entry.] also N"	"indigent.png"	"https://www.wordreference.com/definition/indigent"
"indignation"	"indignation.ipa"	"indignation.mp3"	"N."	"anger at an injustice"	"She felt indignation at the ill-treatment of the helpless animals"	"indignation.png"	"https://www.wordreference.com/definition/indignation"
"indignity"	"indignity.ipa"	"indignity.mp3"	"N."	"offensive or insulting treatment"	"Although he seemed to accept cheerfully the indignities heaped upon him, he was inwardly very angry"	"indignity.png"	"https://www.wordreference.com/definition/indignity"
"indiscriminate"	"indiscriminate.ipa"	"indiscriminate.mp3"	"ADJ."	"choosing at random; confused"	"She disapproved of her son&rsquo;s indiscriminate television viewing and decided to restrict him to educational programs"	"indiscriminate.png"	"https://www.wordreference.com/definition/indiscriminate"
"indisputable"	"indisputable.ipa"	"indisputable.mp3"	"ADJ."	"too certain for anyone to dispute"	"In the face of these indisputable statements, I withdraw my complaint"	"indisputable.png"	"https://www.wordreference.com/definition/indisputable"
"indissoluble"	"indissoluble.ipa"	"indissoluble.mp3"	"ADJ."	"permanent"	"The indissoluble bonds of marriage are all too often being dissolved"	"indissoluble.png"	"https://www.wordreference.com/definition/indissoluble"
"indolent"	"indolent.ipa"	"indolent.mp3"	"ADJ."	"lazy"	"Couch potatoes lead an indolent life lying back in their Lazyboy recliners watching TV.indolence, N"	"indolent.png"	"https://www.wordreference.com/definition/indolent"
"indomitable"	"indomitable.ipa"	"indomitable.mp3"	"ADJ."	"unconquerable; unyielding"	"Focusing on her game despite all her personal problems, tennis champion Steffi Graf displayed an indomitable will to win"	"indomitable.png"	"https://www.wordreference.com/definition/indomitable"
"indubitable"	"indubitable.ipa"	"indubitable.mp3"	"ADJ."	"unable to be doubted; unquestionable"	"Auditioning for the chorus line, Molly was an indubitable hit: the director fired the leading lady and hired Molly in her place!"	"indubitable.png"	"https://www.wordreference.com/definition/indubitable"
"induce"	"induce.ipa"	"induce.mp3"	"V."	"persuade; bring about"	"After the quarrel, Tina said nothing could induce her to talk to Tony again.inducement, N"	"induce.png"	"https://www.wordreference.com/definition/induce"
"inductive"	"inductive.ipa"	"inductive.mp3"	"ADJ."	"pertaining to induction or proceeding from the specific to the general"	"The discovery of Pluto is an excellent example of the results that can be obtained from inductive reasoning"	"inductive.png"	"https://www.wordreference.com/definition/inductive"
"indulgent"	"indulgent.ipa"	"indulgent.mp3"	"ADJ."	"humoring; yielding; lenient"	"Jay&rsquo;s mom was excessively indulgent: she bought him every computer game on the market.In fact, she indulged Jay so much, she spoiled him rotten"	"indulgent.png"	"https://www.wordreference.com/definition/indulgent"
"industrious"	"industrious.ipa"	"industrious.mp3"	"ADJ."	"diligent; hard-working"	"Look busy when the boss walks by your desk; it never hurts to appear industrious.industry, N"	"industrious.png"	"https://www.wordreference.com/definition/industrious"
"inebriated"	"inebriated.ipa"	"inebriated.mp3"	"ADJ."	"habitually intoxicated; drunk"	"Abe was inebriated more often than he was sober.Because of his inebriety, he was discharged from his job as a bus driver"	"inebriated.png"	"https://www.wordreference.com/definition/inebriated"
"ineffable"	"ineffable.ipa"	"ineffable.mp3"	"ADJ."	"unutterable; cannot be expressed in speech"	"Such ineffable joy must be experienced; it cannot be described"	"ineffable.png"	"https://www.wordreference.com/definition/ineffable"
"ineffectual"	"ineffectual.ipa"	"ineffectual.mp3"	"ADJ."	"not effective; weak"	"Because the candidate failed to get across her message to the public, her campaign was ineffectual"	"ineffectual.png"	"https://www.wordreference.com/definition/ineffectual"
"inept"	"inept.ipa"	"inept.mp3"	"ADJ."	"lacking skill; unsuited; incompetent"	"The inept glovemaker was all thumbs.ineptness, N"	"inept.png"	"https://www.wordreference.com/definition/inept"
"inequity"	"inequity.ipa"	"inequity.mp3"	"N."	"unfairness"	"In demanding equal pay for equal work, women protest the basic inequity of a system that allots greater financial rewards to men.inequitable, ADJ"	"inequity.png"	"https://www.wordreference.com/definition/inequity"
"inert"	"inert.ipa"	"inert.mp3"	"ADJ."	"inactive; lacking power to move"	"&ldquo;Get up, you lazybones,&rdquo; Tina cried to Tony, who lay in bed inert.inertia, N"	"inert.png"	"https://www.wordreference.com/definition/inert"
"inevitable"	"inevitable.ipa"	"inevitable.mp3"	"ADJ."	"unavoidable"	"Though death and taxes are both supposedly inevitable, some people avoid paying taxes for years"	"inevitable.png"	"https://www.wordreference.com/definition/inevitable"
"inexorable"	"inexorable.ipa"	"inexorable.mp3"	"ADJ."	"relentless; unyielding; implacable"	"After listening to the pleas for clemency, the judge was inexorable and gave the convicted man the maximum punishment allowed by law"	"inexorable.png"	"https://www.wordreference.com/definition/inexorable"
"infallible"	"infallible.ipa"	"infallible.mp3"	"ADJ."	"unerring"	"We must remember that none of us is infallible; we all make mistakes"	"infallible.png"	"https://www.wordreference.com/definition/infallible"
"infamous"	"infamous.ipa"	"infamous.mp3"	"ADJ."	"notoriously bad"	"Charles Manson and Jeffrey Dahmer are two examples of infamous killers"	"infamous.png"	"https://www.wordreference.com/definition/infamous"
"infer"	"infer.ipa"	"infer.mp3"	"V."	"deduce; conclude"	"From the students&rsquo; glazed looks, it was easy for me to infer that they were bored out of their minds.inference, N"	"infer.png"	"https://www.wordreference.com/definition/infer"
"infernal"	"infernal.ipa"	"infernal.mp3"	"ADJ."	"pertaining to hell; devilish"	"Batman was baffled: he could think of no way to hinder the Joker&rsquo;s infernal scheme to destroy the city"	"infernal.png"	"https://www.wordreference.com/definition/infernal"
"infidel"	"infidel.ipa"	"infidel.mp3"	"N."	"unbeliever"	"The Saracens made war against the infidels"	"infidel.png"	"https://www.wordreference.com/definition/infidel"
"infiltrate"	"infiltrate.ipa"	"infiltrate.mp3"	"V."	"pass into or through; penetrate (an organization) sneakily"	"In order to infiltrate enemy lines at night without being seen, the scouts darkened their faces and wore black coveralls.infiltrator, N"	"infiltrate.png"	"https://www.wordreference.com/definition/infiltrate"
"infinitesimal"	"infinitesimal.ipa"	"infinitesimal.mp3"	"ADJ."	"very small"	"In the twentieth century, physicists made great discoveries about the characteristics of infinitesimal objects like the atom and its parts"	"infinitesimal.png"	"https://www.wordreference.com/definition/infinitesimal"
"infirmity"	"infirmity.ipa"	"infirmity.mp3"	"N."	"weakness"	"Her greatest infirmity was lack of willpower"	"infirmity.png"	"https://www.wordreference.com/definition/infirmity"
"inflated"	"inflated.ipa"	"inflated.mp3"	"ADJ."	"exaggerated; pompous; enlarged (with air or gas)"	"His claims about the new product were inflated; it did not work as well as he had promised"	"inflated.png"	"https://www.wordreference.com/definition/inflated"
"influx"	"influx.ipa"	"influx.mp3"	"N."	"flowing into"	"The influx of refugees into the country has taxed the relief agencies severely"	"influx.png"	"https://www.wordreference.com/definition/influx"
"infraction"	"infraction.ipa"	"infraction.mp3"	"N."	"violation (of a rule or regulation); breach"	"When basketball star Dennis Rodman butted heads with the referee, he committed a clear infraction of NBA rules"	"infraction.png"	"https://www.wordreference.com/definition/infraction"
"infringe"	"infringe.ipa"	"infringe.mp3"	"V."	"violate; encroach"	"When copyrighted material is used without authorization, the owner&rsquo;s first step is to send a letter informing the user of the material that he has infringed upon the owner&rsquo;s rights"	"infringe.png"	"https://www.wordreference.com/definition/infringe"
"ingenious"	"ingenious.ipa"	"ingenious.mp3"	"ADJ."	"clever; resourceful"	"Kit admired the ingenious way that her computer keyboard opened up to reveal the built-in CD-ROM below.ingenuity, N"	"ingenious.png"	"https://www.wordreference.com/definition/ingenious"
"ingenuous"	"ingenuous.ipa"	"ingenuous.mp3"	"ADJ."	"naive and trusting; young; unsophisticated"	"The woodsman did not realize how ingenuous Little Red Riding Hood was until he heard that she had gone off for a walk in the woods with the Big Bad Wolf.ingenue, N"	"ingenuous.png"	"https://www.wordreference.com/definition/ingenuous"
"ingrained"	"ingrained.ipa"	"ingrained.mp3"	"ADJ."	"deeply established; firmly rooted"	"Try as they would, the missionaries were unable to uproot the ingrained superstitions of the natives"	"ingrained.png"	"https://www.wordreference.com/definition/ingrained"
"ingrate"	"ingrate.ipa"	"ingrate.mp3"	"N."	"ungrateful person"	"That ingrate Bob sneered at the tie I gave him"	"ingrate.png"	"https://www.wordreference.com/definition/ingrate"
"ingratiate"	"ingratiate.ipa"	"ingratiate.mp3"	"V."	"become popular with"	"He tried to ingratiate himself into her parents&rsquo; good graces"	"ingratiate.png"	"https://www.wordreference.com/definition/ingratiate"
"inherent"	"inherent.ipa"	"inherent.mp3"	"ADJ."	"firmly established by nature or habit"	"Katya&rsquo;s inherent love of justice caused her to champion anyone she considered to be treated unfairly by society"	"inherent.png"	"https://www.wordreference.com/definition/inherent"
"inhibit"	"inhibit.ipa"	"inhibit.mp3"	"V."	"restrain; retard or prevent"	"Only two things inhibited him from taking a punch at Mike Tyson: Tyson&rsquo;s left hook, and Tyson&rsquo;s right jab.The protective undercoating on my car inhibits the formation of rust.inhibition, N"	"inhibit.png"	"https://www.wordreference.com/definition/inhibit"
"inimical"	"inimical.ipa"	"inimical.mp3"	"ADJ."	"unfriendly; hostile; harmful; detrimental"	"I&rsquo;ve always been friendly to Martha.Why is she so inimical to me?"	"inimical.png"	"https://www.wordreference.com/definition/inimical"
"inimitable"	"inimitable.ipa"	"inimitable.mp3"	"ADJ."	"matchless; not able to be imitated"	"We admire Auden for his inimitable use of language; he is one of a kind"	"inimitable.png"	"https://www.wordreference.com/definition/inimitable"
"iniquitous"	"iniquitous.ipa"	"iniquitous.mp3"	"ADJ."	"wicked; immoral; unrighteous"	"Whether or not King Richard III was responsible for the murder of the two young princes in the Tower, it was an iniquitous deed.iniquity, N"	"iniquitous.png"	"https://www.wordreference.com/definition/iniquitous"
"initiate"	"initiate.ipa"	"initiate.mp3"	"V."	"begin; originate; receive into a group"	"The college is about to initiate a program for reducing math anxiety among students"	"initiate.png"	"https://www.wordreference.com/definition/initiate"
"injurious"	"injurious.ipa"	"injurious.mp3"	"ADJ."	"harmful"	"Smoking cigarettes can be injurious to your health"	"injurious.png"	"https://www.wordreference.com/definition/injurious"
"inkling"	"inkling.ipa"	"inkling.mp3"	"N."	"hint"	"This came as a complete surprise to me as I did not have the slightest inkling of your plans"	"inkling.png"	"https://www.wordreference.com/definition/inkling"
"innate"	"innate.ipa"	"innate.mp3"	"ADJ."	"inborn"	"Mozart&rsquo;s parents soon recognized young Wolfgang&rsquo;s innate talent for music"	"innate.png"	"https://www.wordreference.com/definition/innate"
"innocuous"	"innocuous.ipa"	"innocuous.mp3"	"ADJ."	"harmless"	"An occasional glass of wine with dinner is relatively innocuous and should have no ill effect on most people"	"innocuous.png"	"https://www.wordreference.com/definition/innocuous"
"innovation"	"innovation.ipa"	"innovation.mp3"	"N."	"change; introduction of something new"	"Although Richard liked to keep up with all the latest technological innovations, he didn&rsquo;t always abandon tried and true techniques in favor of something new.innovate, V.innovative, ADJ"	"innovation.png"	"https://www.wordreference.com/definition/innovation"
"innuendo"	"innuendo.ipa"	"innuendo.mp3"	"N."	"hint; insinuation"	"I can defend myself against direct accusations; innuendos and oblique attacks on my character are what trouble me"	"innuendo.png"	"https://www.wordreference.com/definition/innuendo"
"inopportune"	"inopportune.ipa"	"inopportune.mp3"	"ADJ."	"untimely; poorly chosen"	"A rock concert is an inopportune setting for a quiet conversation"	"inopportune.png"	"https://www.wordreference.com/definition/inopportune"
"inordinate"	"inordinate.ipa"	"inordinate.mp3"	"ADJ."	"unrestrained; excessive"	"She had an inordinate fondness for candy, eating two or three boxes in a single day"	"inordinate.png"	"https://www.wordreference.com/definition/inordinate"
"inquisitor"	"inquisitor.ipa"	"inquisitor.mp3"	"N."	"questioner (especially harsh); investigator"	"Fearing being grilled ruthlessly by the secret police, Marsha faced her inquisitors with trepidation"	"inquisitor.png"	"https://www.wordreference.com/definition/inquisitor"
"insalubrious"	"insalubrious.ipa"	"insalubrious.mp3"	"ADJ."	"unwholesome; not healthful"	"The mosquito-ridden swamp was an insalubrious place, a breeding ground for malarial contagion"	"insalubrious.png"	"https://www.wordreference.com/definition/insalubrious"
"insatiable"	"insatiable.ipa"	"insatiable.mp3"	"ADJ."	"not easily satisfied; unquenchable; greedy"	"The young writer&rsquo;s thirst for knowledge was insatiable; she was always in the library"	"insatiable.png"	"https://www.wordreference.com/definition/insatiable"
"inscrutable"	"inscrutable.ipa"	"inscrutable.mp3"	"ADJ."	"impenetrable; not readily understood; mysterious"	"Experienced poker players try to keep their expressions inscrutable, hiding their reactions to the cards behind a so-called poker face"	"inscrutable.png"	"https://www.wordreference.com/definition/inscrutable"
